;1990;1995;2000;2005;2010;2012
United States;-823;-796;-663;-1022;-958;-971
European Union;-269;-303;-315;-315;-323;-316
China;;;;-422;;
Canada;-77;165;-55;44;58;24
Mexico;0;;0;70;;
Brazil;766;1842;1258;1259;;
South Africa;;;;;;
Russian Federation;128;-165;-443;-546;-606;-581
Japan;-67;-79;-86;-89;-72;-75
Korea, Republic of;-34;-35;-59;-57;-55;-51
Australia;124;14;19;19;23;9
India;;;-236;;;
Indonesia;188;;821;;;
United Arab Emirates;;;;;;
Egypt;;;;;;
Iran, Islamic Republic of;;;;;;
Saudi Arabia;;;;;;
Kazakhstan;;;;;;
Malaysia;;;-221;;;
China_Taiwan;;;;;;
Turkey;-44;-48;-50;-50;-58;-60
Thailand;;;;;;
Ukraine;-70;-49;-51;-38;-38;-27
