;SSP1;;;;;SSP2;;;;;SSP3;;;;;SSP4;;;;;SSP5;;;;;
Region;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;2005;2010;2020;2030;2040;
R32AUNZ;886.9252225;1002.622296;1360.535785;1785.038551;2238.206208;886.9252225;1002.622296;1360.309878;1781.072936;2237.120762;886.9252225;1002.622296;1310.222529;1564.378464;1750.375589;886.9252225;1002.622296;1378.274547;1819.890389;2276.659016;886.9252225;1002.622296;1382.158996;1947.488974;2690.351254;
R32BRA;1367.18532;1674.125105;2380.001909;3341.217261;4799.373971;1367.18532;1674.125105;2366.067211;3216.952132;4440.218736;1367.18532;1674.125105;2333.670836;2972.633881;3726.357083;1367.18532;1674.125105;2408.141977;3300.76853;4503.018778;1367.18532;1674.125105;2311.908427;3268.879947;4873.575846;
R32CAN;1187.086961;1252.837636;1555.260977;1962.404972;2470.049502;1187.086961;1252.837636;1547.383102;1918.648596;2392.470583;1187.086961;1252.837636;1487.296015;1661.909471;1823.909101;1187.086961;1252.837636;1572.245957;1969.542508;2445.8532;1187.086961;1252.837636;1563.254761;2094.927734;2890.745745;
R32CAS;320.3521519;485.168279;805.8498568;1289.603391;1986.300824;320.3521519;485.168279;809.4538811;1255.678188;1854.665578;320.3521519;485.168279;792.4922117;1138.149373;1516.206702;320.3521519;485.168279;830.8888383;1301.315337;1901.623433;320.3521519;485.168279;769.7821105;1198.019727;1820.058848;
R32CHN;6473.986287;10608.76563;22211.74015;36702.63768;49524.96613;6473.986287;10608.76563;21891.84103;35150.2516;46253.42683;6473.986287;10608.76563;21596.68826;32764.52299;40016.13033;6473.986287;10608.76563;22178.84996;35755.92213;46429.06065;6473.986287;10608.76563;21627.74003;36305.14318;51216.10507;
R32EEU;170.698054;196.8635331;297.7457282;436.0869557;579.7329548;170.698054;196.8635331;299.5348493;432.2023403;564.8419765;170.698054;196.8635331;294.3813697;398.1197311;478.7829553;170.698054;196.8635331;306.6266321;448.2868144;583.7114679;170.698054;196.8635331;290.4151682;432.9428273;603.7780918;
R32EEU-FSU;375.4809048;461.3018072;591.5317279;793.0323204;1068.071305;375.4809048;461.3018072;598.9105584;783.5489584;1016.111665;375.4809048;461.3018072;582.2595067;694.0748302;792.6518294;375.4809048;461.3018072;616.3543124;819.0922214;1057.056827;375.4809048;461.3018072;577.6635964;791.8945178;1122.765371;
R32EFTA;515.4707715;551.9510032;696.2373077;831.4099223;957.7361772;515.4707715;551.9510032;692.85796;827.5614878;952.4927469;515.4707715;551.9510032;674.7545131;746.82354;772.8112133;515.4707715;551.9510032;698.3846835;837.4272417;954.6274551;515.4707715;551.9510032;705.1008442;902.8220465;1149.104059;
R32EU12-H;1062.365796;1253.410877;1637.478141;2098.589759;2593.189206;1062.365796;1253.410877;1642.685626;2083.173398;2521.11172;1062.365796;1253.410877;1616.891326;1933.933293;2114.461908;1062.365796;1253.410877;1672.979105;2145.090511;2590.087396;1062.365796;1253.410877;1612.318502;2117.413829;2795.928933;
R32EU12-M;321.5128951;359.268011;472.6951641;625.8511544;741.847537;321.5128951;359.268011;477.9242881;627.4329243;737.4437947;321.5128951;359.268011;472.138751;590.33233;653.8742935;321.5128951;359.268011;489.6045301;652.6083734;767.1919975;321.5128951;359.268011;459.5898451;612.1395828;749.9705165;
R32EU15;12204.60173;12640.08086;15407.55907;18584.04117;21489.65078;12204.60173;12640.08086;15352.35633;18362.21933;21128.10091;12204.60173;12640.08086;14967.02471;16644.14541;17337.00687;12204.60173;12640.08086;15551.34966;18747.50688;21442.65677;12204.60173;12640.08086;15437.04291;19554.59319;24536.06087;
R32IDN;737.9862904;963.563467;1624.888498;2774.480788;4739.395265;737.9862904;963.563467;1589.86273;2547.132751;4019.87443;737.9862904;963.563467;1547.536184;2234.884568;3040.281831;737.9862904;963.563467;1617.628041;2599.069366;4009.36876;737.9862904;963.563467;1572.064935;2719.243676;4837.937785;
R32IND;2718.188594;4078.63536;9602.435187;18773.35846;31578.56655;2718.188594;4078.63536;9692.682629;18660.97464;30954.27462;2718.188594;4078.63536;9447.969483;16923.23523;25862.69848;2718.188594;4078.63536;9956.06101;19424.54646;32077.1424;2718.188594;4078.63536;9379.983247;18623.22063;32587.94911;
R32JPN;4002.087363;3988.390039;4714.90341;5415.113613;5741.893958;4002.087363;3988.390039;4638.563791;5267.891893;5507.805273;4002.087363;3988.390039;4544.741525;4905.260367;4747.26447;4002.087363;3988.390039;4640.792856;5262.254458;5431.300711;4002.087363;3988.390039;4777.002017;5759.776363;6566.55483;
R32KOR;1083.828496;1294.389115;1859.70783;2263.635527;2494.76051;1083.828496;1294.389115;1818.799838;2167.35583;2341.53281;1083.828496;1294.389115;1768.329841;1992.328825;1988.506319;1083.828496;1294.389115;1830.106571;2187.234279;2345.762894;1083.828496;1294.389115;1864.814399;2346.24357;2747.569811;
R32LAM-L;117.5547913;140.4015077;262.1312498;424.8967019;634.5998874;117.5547913;140.4015077;264.9894466;430.5337103;649.641004;117.5547913;140.4015077;268.0283318;435.7142003;663.8491341;117.5547913;140.4015077;266.9036806;433.0250821;664.69124;117.5547913;140.4015077;247.8753972;382.4038426;551.8221383;
R32LAM-M;1719.374338;2163.307692;3252.104054;4761.011392;6740.430138;1719.374338;2163.307692;3279.019531;4734.957646;6588.843753;1719.374338;2163.307692;3247.228718;4462.193878;5810.82899;1719.374338;2163.307692;3355.376277;4912.129425;6839.718847;1719.374338;2163.307692;3152.114446;4607.598316;6689.139181;
R32MEA-H;1109.731086;1323.350872;1902.914208;2751.602285;3654.245869;1109.731086;1323.350872;1926.132304;2815.77944;3815.885856;1109.731086;1323.350872;1855.351326;2540.015927;3217.166272;1109.731086;1323.350872;1959.327858;2909.513384;4029.598914;1109.731086;1323.350872;1928.487782;2911.01396;4125.288121;
R32MEA-M;900.7463708;1081.291849;1796.195616;2969.935522;4732.060943;900.7463708;1081.291849;1772.034448;2858.503984;4465.859762;900.7463708;1081.291849;1745.713135;2683.053992;3967.496311;900.7463708;1081.291849;1793.541907;2906.168038;4610.399541;900.7463708;1081.291849;1758.956848;2935.625704;4860.108786;
R32MEX;1236.399547;1342.852295;1890.086501;2676.526299;3620.666464;1236.399547;1342.852295;1889.76602;2650.587058;3578.943597;1236.399547;1342.852295;1890.965949;2593.370162;3381.30102;1236.399547;1342.852295;1922.910085;2719.700934;3630.436283;1236.399547;1342.852295;1827.347779;2551.844976;3497.629125;
R32NAF;732.6825855;911.7437646;1626.967157;2771.862384;4329.509394;732.6825855;911.7437646;1640.372446;2764.051622;4266.679195;732.6825855;911.7437646;1616.639932;2591.769304;3754.638705;732.6825855;911.7437646;1681.322765;2868.131527;4386.25837;732.6825855;911.7437646;1586.541426;2714.066848;4365.94572;
R32OAS-CPA;213.7891252;303.7623972;702.1411788;1385.924225;2199.018509;213.7891252;303.7623972;713.1701027;1385.934366;2162.400934;213.7891252;303.7623972;697.6922812;1265.140577;1815.634134;213.7891252;303.7623972;735.6738708;1450.144289;2253.89936;213.7891252;303.7623972;676.1969904;1334.53507;2161.790781;
R32OAS-L;456.2546049;593.0457037;982.5857322;1573.611715;2549.481681;456.2546049;593.0457037;969.2580838;1469.006437;2199.583907;456.2546049;593.0457037;965.9597628;1373.715908;1860.609612;456.2546049;593.0457037;977.4725843;1445.627315;2045.600831;456.2546049;593.0457037;922.1403245;1424.59727;2271.580829;
R32OAS-M;990.3214468;1243.409849;2256.972783;3535.84427;4975.877092;990.3214468;1243.409849;2215.004866;3382.782996;4683.261137;990.3214468;1243.409849;2186.342258;3174.218672;4123.915114;990.3214468;1243.409849;2233.785911;3415.457663;4654.581015;990.3214468;1243.409849;2205.619191;3511.10121;5177.527129;
R32PAK;362.7274489;454.17049;775.0464662;1244.226486;1986.655621;362.7274489;454.17049;796.0031141;1281.954835;2031.953551;362.7274489;454.17049;793.7071666;1229.093686;1845.267792;362.7274489;454.17049;794.5584191;1256.533559;1961.914073;362.7274489;454.17049;741.5948401;1157.065822;1821.987795;
R32RUS;1743.983875;2099.52917;2411.28997;2918.693042;3621.804128;1743.983875;2099.52917;2444.715101;2934.882857;3582.911073;1743.983875;2099.52917;2388.960362;2655.729766;2921.283302;1743.983875;2099.52917;2505.225688;3049.92718;3706.505559;1743.983875;2099.52917;2373.597301;2955.131386;3882.957676;
R32SAF;321.3107296;368.7493854;490.606988;726.7196838;1126.675343;321.3107296;368.7493854;481.3040303;672.8000777;978.040339;321.3107296;368.7493854;459.6279514;576.3864747;724.2341884;321.3107296;368.7493854;491.8010743;690.9439568;986.5112633;321.3107296;368.7493854;483.4914821;736.1687276;1206.041971;
R32SSA-L;695.9356084;906.2993516;1797.581468;3494.424102;6608.347371;695.9356084;906.2993516;1827.850978;3432.402344;6146.459004;695.9356084;906.2993516;1774.028204;2993.155472;4663.273632;695.9356084;906.2993516;1850.672997;3384.603858;5843.033584;695.9356084;906.2993516;1710.224947;3253.514411;6084.491556;
R32SSA-M;94.72277325;134.1457797;355.2865315;703.7273784;1205.408951;94.72277325;134.1457797;341.8350966;648.9738509;1092.776103;94.72277325;134.1457797;318.4027529;542.200518;839.4553373;94.72277325;134.1457797;339.7275;633.9909055;1078.685309;94.72277325;134.1457797;352.0855977;711.0513839;1252.250124;
R32TUR;692.7229453;812.2679792;1218.749658;1729.956714;2303.914851;692.7229453;812.2679792;1244.714202;1786.267832;2423.582729;692.7229453;812.2679792;1228.75583;1702.165492;2231.205834;692.7229453;812.2679792;1278.034815;1872.606268;2571.270134;692.7229453;812.2679792;1198.354948;1715.085184;2360.572166;
R32USA;12666.18861;12927.03013;15835.40591;18988.11699;22391.53027;12666.18861;12927.03013;15924.97008;19161.83834;22703.12873;12666.18861;12927.03013;15403.36748;17309.55271;18670.79688;12666.18861;12927.03013;16164.47176;19648.00641;23235.55229;12666.18861;12927.03013;16058.49173;20264.64409;25896.19284;
